127.0.0.1 - - [15/Dec/2022:17:20:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:20:24 +0900] "GET /yh/resources/views/signUp.jsp HTTP/1.1" 200 37846
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:20:24 +0900] "GET /yh/resources/css/signUp.css HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:37:02 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 16864
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:37:02 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38184
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:37:02 +0900] "GET /yh/resources/css/section.css HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:37:02 +0900] "GET /yh/resources/js/section_slide.js HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:37:24 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:37:43 +0900] "GET /yh/resources/views/other_profile_offsale.jsp HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:37:43 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4127
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:39:48 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:39:48 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38184
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:39:54 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 16956
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:39:54 +0900] "GET /yh/resources/css/section.css HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:39:54 +0900] "GET /yh/resources/js/section_slide.js HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:40:55 +0900] "GET /yh/resources/views/footer.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:41:21 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:41:33 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:43:38 +0900] "GET /yh/resources/views/signUp.jsp HTTP/1.1" 200 39798
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:43:38 +0900] "GET /yh/resources/css/signUp.css HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:43:38 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:46:59 +0900] "GET /yh/resources/views/nav.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:47:25 +0900] "GET /yh/resources/views/nav.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:47:25 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38225
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:50:44 +0900] "GET /yh/resources/views/nav.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:50:44 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38259
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:51:43 +0900] "GET /yh/resources/views/nav.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:51:43 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38304
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:52:23 +0900] "GET /yh/resources/views/nav.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:52:23 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38339
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:52:50 +0900] "GET /yh/resources/views/nav.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:52:50 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38309
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:53:10 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:53:10 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:54:12 +0900] "GET /yh/resources/views/signUp.jsp HTTP/1.1" 200 39798
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:54:12 +0900] "GET /yh/resources/css/signUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:17:54:12 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
